,participant,dataset,number,score,rule,solved,hard,p,n,tp,fn,fp,tn,precision,recall,tnr,fnr,accuracy,f1,total_duration,images_mean,images_variance,images_duration,images_duration_min,images_duration_max,pause_mean,pause_variance,pause_duration,pause_duration_min,pause_duration_max
53,7,svrt19,11,4.0,1,1,0,6,5,5,1,0,5,1.0,0.8333,1.0,0.1667,0.9091,0.9091,54.437,3.96,40.760999999999996,43.56100000000001,1.0290000000000001,23.06,1.088,0.048,10.876,0.833,1.4280000000000002
54,7,fp5,7,0.0,1,1,0,3,4,3,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,50.57,6.584,20.000999999999998,46.08600000000001,1.8559999999999999,14.45,0.747,0.10300000000000001,4.484,0.25,1.101
55,7,fp1,13,6.0,1,1,0,4,9,4,0,2,7,0.6667,1.0,0.7778,0.0,0.8462,0.8,224.22299999999998,12.645999999999999,43.24800000000001,164.395,5.169,28.424,4.9860000000000015,100.15,59.828,0.55,31.423000000000002
56,7,svrt20,7,0.0,1,1,0,3,4,3,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,33.492999999999995,4.09,3.593,28.627,2.188,7.381,0.8109999999999999,0.06,4.8660000000000005,0.65,1.2830000000000001
57,7,svrt21,7,0.0,1,1,0,6,1,6,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,26.518,3.108,2.401,21.753,1.599,5.82,0.794,0.025,4.765,0.5820000000000001,0.95
58,7,cr5,21,14.0,1,1,0,11,10,7,4,5,5,0.5833,0.6364,0.5,0.3636,0.5714,0.6087,416.425,18.479,1588.611,388.06800000000004,0.49,170.21,1.4180000000000001,1.239,28.357,0.6,5.169
59,7,cr1,7,0.0,1,1,0,2,5,2,0,0,5,1.0,1.0,1.0,0.0,1.0,1.0,107.369,14.341,73.732,100.38799999999999,7.672999999999999,33.357,1.1640000000000001,0.33399999999999996,6.981,0.632,2.1830000000000003
60,8,sr,35,,0,0,0,18,17,9,9,8,9,0.5294,0.5,0.5294,0.5,0.5143,0.5143,318.634,5.4910000000000005,74.267,192.182,0.877,36.531,3.719,42.49800000000001,126.452,0.7,27.207
61,8,svrt1,9,2.0,1,1,0,2,7,2,0,1,6,0.6667,1.0,0.8571,0.0,0.8889,0.8,27.254,1.819,1.3019999999999998,16.372,1.015,4.461,1.36,3.131,10.882,0.55,5.7170000000000005
62,8,rbp5,35,,0,0,0,17,18,9,8,9,9,0.5,0.5294,0.5,0.4706,0.5143,0.5143,459.797,11.477,236.354,401.682,1.456,74.382,1.709,5.007,58.115,0.5670000000000001,11.133
63,8,rbp1,35,,0,0,1,18,17,17,1,12,5,0.5862,0.9444,0.2941,0.0556,0.6286,0.7234,427.271,11.095999999999998,27.104,388.369,2.658,25.61,1.144,1.1,38.902,0.55,5.884
64,8,sd,7,0.0,1,1,0,3,4,3,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,16.82,1.832,0.59,12.823,1.143,3.0010000000000003,0.6659999999999999,0.008,3.997,0.5670000000000001,0.813
65,8,svrt19,15,8.0,1,1,1,9,6,6,3,1,5,0.8571,0.6667,0.8333,0.3333,0.7333,0.75,97.396,4.414,59.53,66.215,0.936,31.361,2.227,26.092,31.181,0.55,19.899
66,8,fp5,7,0.0,1,1,0,1,6,1,0,0,6,1.0,1.0,1.0,0.0,1.0,1.0,50.153,6.479,31.738000000000003,45.353,1.703,18.597,0.8,0.224,4.8,0.55,1.75
67,8,fp1,15,8.0,1,1,0,9,6,9,0,2,4,0.8182,1.0,0.6667,0.0,0.8667,0.9,308.97,19.034,290.6790000000001,285.505,3.559,62.573,1.676,6.086,23.465,0.5329999999999999,9.916
68,8,svrt20,14,7.0,1,1,0,7,7,7,0,1,6,0.875,1.0,0.8571,0.0,0.9286,0.9333,32.111000000000004,1.3090000000000002,0.328,18.324,0.928,3.227,1.061,0.499,13.787,0.55,2.485
69,8,svrt21,20,13.0,1,1,1,13,7,12,1,1,6,0.9231,0.9231,0.8571,0.0769,0.9,0.9231,60.483,2.263,1.257,45.26300000000001,1.109,5.125,0.8009999999999999,0.067,15.22,0.5329999999999999,1.2
70,8,cr5,35,,0,0,1,17,18,7,10,11,7,0.3889,0.4118,0.3889,0.5882,0.4,0.4,942.8,24.73,1836.79,865.564,1.354,240.663,2.272,17.217,77.236,0.6,18.221
71,8,cr1,8,1.0,0,1,1,2,6,1,1,0,6,1.0,0.5,1.0,0.5,0.875,0.6667,79.929,9.064,26.492,72.512,5.534,19.138,1.06,0.737,7.417000000000002,0.619,2.967
72,9,sr,35,,0,0,0,18,17,7,11,11,6,0.3889,0.3889,0.3529,0.6111,0.3714,0.3889,308.223,4.72,48.01600000000001,165.21099999999996,1.115,40.096,4.206,252.6,143.012,0.5329999999999999,93.93299999999999
73,9,svrt1,8,1.0,1,1,0,6,2,6,0,1,1,0.8571,1.0,0.5,0.0,0.875,0.9231,24.316999999999997,2.135,1.33,17.083,1.0170000000000001,4.319,1.033,0.196,7.234,0.633,1.817
74,9,rbp5,23,16.0,1,1,0,9,14,9,0,8,6,0.5294,1.0,0.4286,0.0,0.6522,0.6923,200.2,7.596,22.513,174.708,1.8159999999999998,19.95,1.159,0.38299999999999995,25.491999999999997,0.55,2.801
75,9,rbp1,35,,0,0,1,18,17,9,9,8,9,0.5294,0.5,0.5294,0.5,0.5143,0.5143,522.45,13.599,401.18199999999996,475.981,0.97,105.381,1.367,1.012,46.468999999999994,0.5670000000000001,5.472
76,9,sd,16,9.0,1,1,0,9,7,7,2,2,5,0.7778,0.7778,0.7143,0.2222,0.75,0.7778,231.354,12.444,170.792,199.1,2.18,46.185,2.15,9.685,32.254,0.5329999999999999,12.744000000000002
77,9,svrt19,8,1.0,1,1,0,6,2,6,0,1,1,0.8571,1.0,0.5,0.0,0.875,0.9231,39.335,3.9939999999999998,10.311,31.951,1.127,8.097999999999999,1.055,0.34,7.383999999999999,0.583,2.218
78,9,fp5,7,0.0,1,1,0,4,3,4,0,0,3,1.0,1.0,1.0,0.0,1.0,1.0,125.192,16.971,332.8780000000001,118.79899999999999,2.229,56.792,1.0659999999999998,0.348,6.393,0.521,2.188
79,9,fp1,8,1.0,1,1,0,4,4,4,0,1,3,0.8,1.0,0.75,0.0,0.875,0.8889,125.24,14.761,22.609,118.088,4.492,18.538,1.022,0.233,7.152,0.65,1.983
80,9,svrt20,16,9.0,1,1,0,7,9,6,1,1,8,0.8571,0.8571,0.8889,0.1429,0.875,0.8571,53.08,2.201,1.891,35.21,0.759,4.664,1.1909999999999998,1.314,17.87,0.33299999999999996,5.018
81,9,svrt21,30,23.0,1,1,0,16,14,13,3,6,8,0.6842,0.8125,0.5714,0.1875,0.7,0.7429,404.414,12.005,555.765,360.13699999999994,0.9179999999999999,125.177,1.527,2.9189999999999996,44.277,0.5329999999999999,9.703
82,9,cr5,24,17.0,1,1,1,13,11,10,3,5,6,0.6667,0.7692,0.5455,0.2308,0.6667,0.7143,545.882,19.808,1094.104,475.385,1.128,162.54399999999995,3.065,46.19,70.497,0.38299999999999995,27.808000000000003
83,9,cr1,8,1.0,1,1,0,4,4,3,1,0,4,1.0,0.75,1.0,0.25,0.875,0.8571,88.91799999999998,10.402000000000001,99.531,83.22,2.997,29.746,0.8140000000000001,0.044000000000000004,5.6979999999999995,0.55,1.117
84,10,sr,35,,0,0,0,18,17,7,11,7,10,0.5,0.3889,0.5882,0.6111,0.4857,0.4375,278.608,6.3039999999999985,5.7360000000000015,220.637,2.753,12.339,2.07,0.384,57.971,1.003,3.427
85,10,svrt1,10,3.0,1,1,0,8,2,5,3,0,2,1.0,0.625,1.0,0.375,0.7,0.7692,40.96,4.096,12.58,40.96,1.5730000000000002,12.907,,,,,
86,10,rbp5,32,25.0,0,1,1,15,17,7,8,6,11,0.5385,0.4667,0.6471,0.5333,0.5625,0.5,269.623,8.426,29.493,269.623,2.076,26.857,,,,,
87,10,rbp1,24,17.0,0,1,1,13,11,12,1,4,7,0.75,0.9231,0.6364,0.0769,0.7917,0.8276,432.645,15.195,40.471,364.676,3.762,32.616,2.955,63.64,67.969,0.899,39.504
88,10,sd,7,0.0,1,1,0,3,4,3,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,48.291,5.882999999999999,6.126,41.181,2.9730000000000003,9.083,1.185,0.158,7.11,0.617,1.716
89,10,svrt19,7,0.0,1,1,0,3,4,3,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,30.180999999999997,3.279,1.796,22.955,1.474,4.759,1.204,0.051,7.226,0.861,1.475
90,10,fp5,13,6.0,1,1,0,7,6,5,2,0,6,1.0,0.7143,1.0,0.2857,0.8462,0.8333,174.188,12.169,59.463,158.201,2.615,25.221,1.332,1.133,15.987,0.35,4.388
91,10,fp1,7,0.0,1,1,0,2,5,2,0,0,5,1.0,1.0,1.0,0.0,1.0,1.0,80.274,10.62,13.546,74.34,3.214,14.47,0.989,0.239,5.934,0.65,1.966
92,10,svrt20,31,24.0,1,1,0,16,15,11,5,5,10,0.6875,0.6875,0.6667,0.3125,0.6774,0.6875,290.647,8.642999999999999,12.735,267.948,3.605,16.559,0.757,0.202,22.699,0.217,2.072
93,10,svrt21,13,6.0,1,1,0,6,7,5,1,2,5,0.7143,0.8333,0.7143,0.1667,0.7692,0.7692,88.639,5.995,11.533,77.94,1.666,14.755,0.892,0.245,10.699000000000002,0.3,2.121
94,10,cr5,7,0.0,0,1,0,4,3,4,0,0,3,1.0,1.0,1.0,0.0,1.0,1.0,54.438,7.15,3.891,50.052,4.136,10.122,0.731,0.196,4.386,0.385,1.5659999999999998
95,10,cr1,18,11.0,0,1,1,10,8,8,2,5,3,0.6154,0.8,0.375,0.2,0.6111,0.6957,273.767,12.185,49.219,219.33,4.9060000000000015,35.828,3.202,77.51100000000002,54.437,0.317,37.303
96,11,sr,34,27.0,1,1,0,17,17,12,5,6,11,0.6667,0.7059,0.6471,0.2941,0.6765,0.6857,286.209,6.87,39.872,233.579,1.2109999999999999,27.04300000000001,1.595,0.76,52.63,0.547,3.5989999999999998
97,11,svrt1,9,2.0,1,1,0,3,6,2,1,0,6,1.0,0.6667,1.0,0.3333,0.8889,0.8,39.419,3.133,6.399,28.199,1.247,7.47,1.402,0.825,11.22,0.547,3.432
98,11,rbp5,17,10.0,1,1,1,9,8,7,2,5,3,0.5833,0.7778,0.375,0.2222,0.5882,0.6667,483.108,26.29300000000001,702.659,446.985,2.6860000000000004,86.689,2.258,7.6670000000000025,36.12300000000001,0.518,11.722999999999999
99,11,rbp1,35,,0,0,0,18,17,11,7,12,5,0.4783,0.6111,0.2941,0.3889,0.4571,0.5366,1009.561,27.531999999999996,970.3960000000001,963.6039999999999,0.486,153.826,1.3519999999999999,0.611,45.957,0.547,4.379
100,11,sd,35,,0,0,0,18,17,8,10,8,9,0.5,0.4444,0.5294,0.5556,0.4857,0.4706,372.09400000000005,9.585,36.701,335.463,0.991,25.424,1.077,0.537,36.631,0.529,4.641
101,11,svrt19,12,5.0,1,1,0,3,9,2,1,2,7,0.5,0.6667,0.7778,0.3333,0.75,0.5714,73.759,5.256,14.975999999999999,63.068999999999996,2.4619999999999997,16.122,0.972,0.051,10.69,0.59,1.361
