,participant,dataset,image,trial,true_value,pred_value,duration,break,switches_fixations,fixations,p_nan,len,switches,line_start_x,line_start_y,line_end_x,line_end_y
596,5,cr1,single_chess_nomirror_00312,8,0,0,23.04,1.287,13.0,84.0,2.46,1382.0,79.0,114.70129870129864,211.11688311688306,419.4632034632035,280.3809523809523
597,5,cr1,single_chess_mirror_00114,9,1,1,21.216,0.667,29.0,66.0,0.71,1273.0,65.0,261.54112554112555,374.5800865800865,247.6883116883117,126.61471861471851
598,5,cr1,single_chess_mirror_00119,10,1,0,15.564,2.05,13.0,52.0,1.07,933.0,47.0,75.91341991341983,247.13419913419904,420.8484848484849,249.9047619047618
599,5,cr1,single_chess_nomirror_00220,11,0,0,18.45,2.559,18.0,69.0,3.71,1106.0,68.0,260.15584415584414,428.60606060606057,256.0,105.83549783549772
600,5,cr1,single_chess_mirror_00166,12,1,1,15.157,1.017,8.0,45.0,6.94,908.0,42.0,136.86580086580085,338.5627705627705,364.0519480519481,168.17316017316008
601,5,cr1,single_chess_mirror_00380,13,1,1,28.443,1.283,14.0,86.0,1.52,1706.0,38.0,74.52813852813847,298.3896103896103,409.76623376623377,195.87878787878785
602,5,cr1,single_chess_nomirror_00467,14,0,0,20.351,0.7170000000000001,2.0,66.0,2.78,1221.0,30.0,366.8225108225108,308.08658008658,172.88311688311683,198.6493506493506
603,5,cr1,single_chess_mirror_00481,15,1,1,17.183,0.967,8.0,48.0,1.55,1031.0,40.0,441.62770562770567,352.4155844155844,77.29870129870125,154.32034632034623
604,5,cr1,single_chess_mirror_00191,16,1,1,22.165,0.682,22.0,63.0,1.73,1330.0,106.0,316.95238095238096,147.3939393939393,190.89177489177482,366.2683982683982
605,5,cr1,single_chess_nomirror_00363,17,0,0,18.459,0.667,17.0,54.0,1.72,1107.0,69.0,316.95238095238096,355.18614718614714,218.5974025974026,173.71428571428558
606,6,sr,6023_0_1,1,0,1,3.1069999999999998,0.0,5.0,10.0,1.08,186.0,5.0,358.51082251082255,144.62337662337652,412.5367965367967,274.83982683982674
607,6,sr,7289_1_0,2,1,1,1.94,1.217,1.0,5.0,0.0,117.0,1.0,204.74458874458873,313.62770562770555,334.96103896103904,436.9177489177489
608,6,sr,5689_0_1,3,0,0,0.938,0.733,1.0,2.0,7.14,56.0,3.0,375.1341991341992,147.3939393939393,294.7878787878788,306.70129870129864
609,6,sr,6743_1_0,4,1,1,0.7090000000000001,0.733,0.0,2.0,0.0,43.0,0.0,159.030303030303,287.30735930735926,341.8874458874459,466.008658008658
610,6,sr,7977_1_1,5,1,0,0.675,0.667,0.0,3.0,0.0,40.0,0.0,311.4112554112553,436.9177489177489,429.16017316017326,442.4588744588745
611,6,sr,9259_0_1,6,0,1,2.877,3.638,1.0,4.0,0.0,172.0,2.0,226.90909090909088,309.47186147186136,265.6969696969697,427.2207792207792
612,6,sr,3489_0_0,7,0,0,3.142,6.49,2.0,4.0,0.0,189.0,2.0,290.6320346320346,170.94372294372292,310.02597402597405,273.4545454545454
613,6,sr,3559_0_0,8,0,1,3.5189999999999997,1.767,4.0,10.0,0.0,211.0,4.0,384.83116883116884,263.7575757575757,357.12554112554113,400.9004329004329
614,6,sr,6544_1_0,9,1,0,5.507999999999999,3.069,1.0,7.0,10.0,330.0,3.0,376.51948051948057,234.66666666666657,491.4978354978357,262.3722943722944
615,6,sr,288_1_0,10,1,0,1.47,2.517,2.0,6.0,0.0,88.0,2.0,262.9264069264069,252.6753246753246,415.3073593073593,297.0043290043289
616,6,sr,2585_0_1,11,0,0,5.779,7.767,1.0,5.0,6.36,346.0,1.0,244.9177489177489,238.8225108225108,319.7229437229437,337.1774891774891
617,6,sr,1614_1_1,12,1,0,8.946,1.101,3.0,11.0,0.0,537.0,4.0,261.54112554112555,157.090909090909,149.33333333333331,103.06493506493496
618,6,sr,7439_0_1,13,0,0,22.065,1.702,6.0,17.0,13.46,1315.0,10.0,247.6883116883117,166.7878787878787,340.5021645021645,285.92207792207785
619,6,sr,4105_1_0,14,1,1,2.614,2.853,2.0,4.0,0.64,157.0,4.0,193.66233766233762,121.07359307359295,95.30735930735926,151.54978354978348
620,6,sr,698_1_0,15,1,0,5.268,1.05,2.0,9.0,0.0,316.0,2.0,157.6450216450216,233.28138528138518,287.86147186147184,319.16883116883116
621,6,sr,7256_0_0,16,0,1,3.5610000000000004,1.2830000000000001,3.0,8.0,7.04,213.0,5.0,109.16017316017307,223.58441558441555,189.50649350649346,320.5541125541125
622,6,sr,7257_1_1,17,1,1,6.494,2.046,2.0,5.0,48.02,379.0,4.0,192.27705627705623,183.4112554112553,368.2077922077922,241.59307359307357
623,6,sr,4089_1_0,18,1,1,3.5860000000000003,1.2890000000000001,3.0,7.0,18.4,212.0,4.0,146.56277056277054,364.8831168831168,228.29437229437232,431.3766233766234
624,6,sr,2831_1_1,19,1,0,3.83,1.008,3.0,9.0,23.42,222.0,5.0,171.49783549783547,308.08658008658,339.11688311688323,306.70129870129864
625,6,sr,2735_1_0,20,1,1,5.721,2.9019999999999997,4.0,8.0,4.37,343.0,4.0,283.70562770562765,194.4935064935064,395.91341991342,201.41991341991334
